"movie_title","film_slug","page","review","review_chars","language","review_lower","known_spam","has_url","promo_words","repeated_review","very_short","spam_score","likely_spam"
"Don't Look Up","dont-look-up-2021",1,"Don't look Up is an amazing social commentary that includes a great amount of comedy to get its message across. It tells the story of an asteroid heading to earth and will kill civilization. Its commentary critiques the government for its inability to act on pressing issues that harm the whole world, while also critiquing the people who listen to the people in power and don't bat an eye. The true magic of the movie is when the asteroid finally…",448,"en","don't look up is an amazing social commentary that includes a great amount of comedy to get its message across. it tells the story of an asteroid heading to earth and will kill civilization. its commentary critiques the government for its inability to act on pressing issues that harm the whole world, while also critiquing the people who listen to the people in power and don't bat an eye. the true magic of the movie is when the asteroid finally…",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"When this movie came out, it really came off as a boomer self-gratification piece to validate their own outrage at the Trump admin and the tech oligarchy and worship of guys on the spectrum who are also sociopaths. With that all being said, that's still what it is, but unfortunately I think this movie hits harder now than it did a few years ago. Reality is a suggestion. You either have a fully blown off roof, or a fully blown off roof but you think everything is fine. Fun times.",483,"en","when this movie came out, it really came off as a boomer self-gratification piece to validate their own outrage at the trump admin and the tech oligarchy and worship of guys on the spectrum who are also sociopaths. with that all being said, that's still what it is, but unfortunately i think this movie hits harder now than it did a few years ago. reality is a suggestion. you either have a fully blown off roof, or a fully blown off roof but you think everything is fine. fun times.",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"This had an odd change of heart. I went into this film expecting to be very disappointed of Adam McKay's storytelling, because of the criticisms people have about this film, but I think a lot of those criticisms are exactly what makes this work. At first, yes it is extremely exaggerated, the characters feel like caricatures and are extremely exaggerated, but well it is a satire at it's core, and yes, at times it may feel like it's preaching to…",448,"en","this had an odd change of heart. i went into this film expecting to be very disappointed of adam mckay's storytelling, because of the criticisms people have about this film, but i think a lot of those criticisms are exactly what makes this work. at first, yes it is extremely exaggerated, the characters feel like caricatures and are extremely exaggerated, but well it is a satire at it's core, and yes, at times it may feel like it's preaching to…",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"so so good. everyone did what they needed to do.",48,"en","so so good. everyone did what they needed to do.",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"leo really the best and it’s not close fucking love fingerling potatoes",71,"en","leo really the best and it’s not close fucking love fingerling potatoes",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"this is not a good movie to watch when you’re consumed with existential dread and general pessimism toward the human race",121,"en","this is not a good movie to watch when you’re consumed with existential dread and general pessimism toward the human race",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",2,"One of my favorite “end of world” movies. Perfectly relates to our abhorrent political state that protects images more than lives.",130,"en","one of my favorite “end of world” movies. perfectly relates to our abhorrent political state that protects images more than lives.",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",3,"Pretentious? Yes, absolutely. An over exaggeration? No, not at all.",67,"en","pretentious? yes, absolutely. an over exaggeration? no, not at all.",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",3,"One of Leo’s more weaker films however I still enjoyed the ideas of it with some solid comedic and emotional areas",114,"en","one of leo’s more weaker films however i still enjoyed the ideas of it with some solid comedic and emotional areas",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Don't Look Up","dont-look-up-2021",3,"Okay I watched it on a first date that did not go well. But overall it was a great story about how the elite do not actually care about anyone but themselves and money. Even when their plan went wrong they still lived.",218,"en","okay i watched it on a first date that did not go well. but overall it was a great story about how the elite do not actually care about anyone but themselves and money. even when their plan went wrong they still lived.",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
